pitcher,pitch_type,release_speed,pfx_z,pfx_x,release_spin_rate,spin_axis,release_pos_x,release_pos_z,release_extension,plate_z,plate_x,stand
660271,FS,88.5,0.06,-0.46,1187,240,-1.67,6.33,6.8,0.31,0.3,R
660271,SL,87.2,0.44,1.04,2544,80,-2.53,5.77,6.7,2.35,0.33,R
660271,FF,98.7,1.17,-0.46,2207,210,-2.06,6.03,6.7,2.79,-0.65,R
660271,SI,96.1,0.68,-1.37,1903,207,-2.21,5.94,6.7,3.08,-0.49,R
660271,SL,85,0.15,1.22,2550,79,-2.33,5.81,6.7,2.35,0.37,R
660271,SL,85.4,0.35,1.15,2521,65,-2.44,5.82,6.7,1.01,0.42,R
660271,SI,95.3,0.88,-1.27,1930,219,-1.98,6.03,6.8,2.03,-1.06,R
660271,SL,85.7,0.16,1.35,2531,56,-2.65,5.64,6.7,1.53,0.7,L
660271,FC,91.1,0.34,0.31,2417,156,-2.41,5.71,6.5,2.47,0.56,L
660271,SL,86.1,0.03,1.51,2723,58,-2.6,5.58,6.6,2.22,1.62,R
660271,SL,85.6,0.4,1.2,2537,62,-2.34,5.74,6.5,2.43,0.2,R
660271,FF,96.4,1.21,-0.47,2166,216,-2.11,5.94,6.8,3.52,-1.56,R
660271,SL,85.9,0.24,1.12,2495,66,-2.41,5.71,6.6,2.27,-0.25,R
660271,FF,96.3,1.35,-0.29,2213,216,-2.2,5.97,6.6,3.21,-1.04,R
660271,FF,98.8,1.13,-0.03,2402,216,-2.22,5.97,6.5,3.46,-0.34,L
660271,FF,99.1,1.2,-0.51,2369,219,-2.29,5.91,6.5,2.69,-0.96,L
660271,SL,85.2,-0.02,1.39,2588,66,-2.72,5.74,6.7,2.19,-0.83,L
660271,SL,87.2,-0.07,1.52,2627,67,-2.59,5.69,6.5,2.62,-0.47,R
660271,SL,88,0.12,1.46,2672,69,-2.48,5.71,6.7,1.35,1.62,R
660271,SL,86.5,0.14,1.43,2469,65,-2.43,5.75,6.6,1.97,1.28,R
660271,FS,88.5,0.02,-0.34,1211,235,-1.69,6.24,6.8,-0.23,0.94,R
660271,SL,84.3,-0.1,1.2,2480,64,-2.44,5.81,6.8,1.61,0.03,R
660271,SL,86.4,0.18,1.65,2602,58,-2.53,5.73,6.6,2.32,0.34,R
660271,SL,86.3,0.08,1.68,2782,64,-2.74,5.5,6.7,0.56,1.5,R
660271,SL,84.8,0.13,1.72,2643,63,-2.59,5.71,6.6,1.55,0.89,R
660271,CU,78.1,-1.19,1,2501,38,-1.99,6.37,6.5,4.31,-1.04,R
660271,FS,89.4,0.19,-0.22,1135,238,-1.91,6.23,6.7,3.19,-0.04,R
660271,FS,87.3,1.07,-0.56,1082,239,-1.99,6.22,6.7,2.65,0.27,R
660271,SL,85.1,0.01,1.45,2566,63,-2.5,5.75,6.6,2.52,0.14,R
660271,SL,86.4,0.27,1.14,2482,72,-2.57,5.77,6.7,2.59,-0.07,R
660271,FF,95.4,1.06,-0.33,2047,207,-2.16,5.99,6.8,1.72,1.07,R
660271,SL,85.1,0.53,0.84,2348,75,-2.45,5.89,6.6,4.23,-1.63,R
660271,FF,99.6,1.2,-0.17,2316,211,-2.27,5.77,6.8,2.09,1.34,L
660271,FF,99.3,0.71,-0.08,2241,207,-2.63,5.7,6.8,1.73,0.25,L
